Age,Gender,Region,Industry,Work_Arrangement,Hours_Per_Week,Burnout_Level,Work_Life_Balance_Score,Social_Isolation_Score,Avg_Salary,Physical_Health_Count,Mental_Health_Score
56,Female,Africa,Education,Onsite,52,2,4,2,90000.0,1,6
33,Female,Oceania,Finance,Hybrid,48,2,2,2,70000.0,1,5
28,Female,Asia,Professional Services,Onsite,44,1,3,3,70000.0,3,0
64,Female,Asia,Technology,Remote,40,3,4,4,70000.0,3,4
49,Male,Asia,Manufacturing,Hybrid,35,1,3,4,120000.0,1,5
33,Female,North America,Professional Services,Hybrid,48,3,2,2,90000.0,2,1
44,Female,Oceania,Education,Hybrid,47,2,3,3,120000.0,1,1
41,Female,Europe,Technology,Hybrid,43,3,3,1,120000.0,1,0
25,Female,South America,Technology,Remote,59,1,2,4,70000.0,0,5
58,Female,Oceania,Education,Onsite,50,2,3,2,50000.0,1,5
58,Male,Oceania,Technology,Remote,37,3,1,4,120000.0,3,5
65,Female,Africa,Manufacturing,Onsite,64,2,4,3,50000.0,1,5
44,Female,North America,Healthcare,Hybrid,49,2,3,2,70000.0,2,3
22,Female,Africa,Finance,Hybrid,59,2,2,1,70000.0,1,4
60,Female,Asia,Customer Service,Onsite,35,1,3,4,70000.0,1,6
55,Female,North America,Marketing,Onsite,47,1,4,2,90000.0,3,6
65,Male,North America,Healthcare,Onsite,45,1,4,1,120000.0,0,3
39,Female,Asia,Finance,Onsite,52,1,3,4,90000.0,2,4
43,Female,North America,Finance,Hybrid,40,3,3,1,90000.0,0,6
22,Female,Europe,Customer Service,Onsite,45,1,4,2,110000.0,2,1
22,Female,Europe,Retail,Onsite,60,3,5,3,90000.0,4,1
59,Male,Africa,Technology,Remote,58,2,5,3,90000.0,0,5
48,Male,Europe,Professional Services,Onsite,49,1,1,2,90000.0,0,1
42,Male,Oceania,Professional Services,Onsite,52,1,1,3,50000.0,3,6
64,Female,Europe,Retail,Onsite,45,3,3,3,110000.0,3,2
27,Male,Africa,Customer Service,Onsite,62,2,1,2,90000.0,1,0
53,Female,Asia,Technology,Remote,38,3,5,5,110000.0,3,3
22,Female,South America,Professional Services,Remote,65,3,5,3,110000.0,2,4
41,Female,Oceania,Retail,Hybrid,46,2,3,2,70000.0,2,2
23,Male,Asia,Technology,Remote,44,3,5,5,50000.0,3,4
30,Male,Oceania,Manufacturing,Hybrid,47,3,3,4,110000.0,2,6
55,Male,Europe,Finance,Hybrid,64,1,3,3,70000.0,0,1
31,Male,South America,Finance,Onsite,46,3,5,2,90000.0,2,2
45,Male,Asia,Technology,Remote,39,1,1,4,70000.0,2,6
38,Female,North America,Professional Services,Onsite,43,2,3,1,90000.0,2,6
46,Male,South America,Professional Services,Onsite,40,2,4,1,90000.0,4,5
63,Male,Europe,Technology,Remote,51,1,3,2,70000.0,2,0
52,Female,Asia,Retail,Onsite,39,2,4,3,110000.0,1,5
44,Female,North America,Finance,Onsite,56,2,3,1,120000.0,0,3
31,Female,Europe,Customer Service,Hybrid,47,2,5,4,50000.0,1,0
63,Female,Africa,Professional Services,Onsite,42,2,2,3,90000.0,3,3
58,Male,North America,Manufacturing,Hybrid,53,2,3,2,50000.0,0,4
43,Male,Oceania,Technology,Onsite,55,2,3,2,90000.0,2,3
45,Female,South America,Technology,Onsite,57,1,3,3,90000.0,4,6
47,Male,North America,Technology,Remote,55,3,3,3,50000.0,2,2
44,Male,Oceania,Manufacturing,Onsite,43,1,3,2,110000.0,2,4
59,Female,Africa,Education,Hybrid,61,2,3,2,70000.0,1,0
51,Female,North America,Technology,Hybrid,51,3,3,5,50000.0,2,0
40,Male,Asia,Finance,Remote,60,2,4,5,70000.0,1,6
62,Male,Europe,Technology,Hybrid,52,3,4,5,70000.0,2,1
29,Female,North America,Finance,Hybrid,46,1,5,3,90000.0,1,4
57,Female,South America,Education,Onsite,55,2,2,1,90000.0,3,0
56,Male,South America,Customer Service,Remote,59,3,2,5,90000.0,4,0
52,Male,Asia,Technology,Remote,42,2,3,4,50000.0,3,2
47,Male,South America,Professional Services,Onsite,55,1,1,1,70000.0,1,4
64,Male,North America,Finance,Remote,41,1,1,3,90000.0,4,4
51,Male,Asia,Manufacturing,Remote,41,2,3,4,70000.0,2,5
58,Male,Oceania,Finance,Onsite,63,2,1,3,70000.0,0,5
26,Female,North America,Retail,Onsite,45,2,3,3,70000.0,2,1
23,Male,North America,Technology,Remote,50,3,4,5,70000.0,2,3
24,Female,South America,Marketing,Onsite,53,3,1,1,90000.0,1,6
25,Female,Europe,Technology,Remote,42,2,4,5,50000.0,3,6
42,Female,Oceania,Technology,Remote,60,3,4,3,110000.0,2,0
56,Female,Oceania,Manufacturing,Onsite,55,2,2,3,50000.0,3,6
26,Female,Asia,Technology,Hybrid,41,3,3,3,90000.0,3,2
55,Female,Africa,Professional Services,Hybrid,43,2,2,4,50000.0,2,3
56,Male,Oceania,Education,Onsite,63,3,2,3,90000.0,3,0
53,Female,South America,Technology,Hybrid,44,2,2,4,120000.0,1,3
45,Male,Europe,Finance,Onsite,37,1,5,3,70000.0,2,0
29,Female,North America,Professional Services,Onsite,48,1,5,3,70000.0,1,2
46,Male,Africa,Technology,Remote,41,2,2,5,90000.0,1,1
61,Female,South America,Education,Onsite,60,2,1,1,50000.0,2,3
40,Female,Europe,Manufacturing,Onsite,64,1,4,1,70000.0,2,1
49,Female,South America,Technology,Hybrid,49,1,1,1,70000.0,0,1
27,Female,North America,Finance,Onsite,44,1,5,3,70000.0,1,5
38,Male,Oceania,Professional Services,Hybrid,47,2,2,1,70000.0,2,2
44,Female,Oceania,Technology,Remote,45,1,5,3,70000.0,1,3
24,Male,Asia,Education,Onsite,39,1,3,4,90000.0,2,5
59,Male,South America,Manufacturing,Hybrid,47,3,3,1,50000.0,2,3
47,Female,Europe,Technology,Hybrid,50,3,1,3,90000.0,1,0
64,Male,North America,Finance,Onsite,42,3,3,1,90000.0,0,3
43,Female,Asia,Healthcare,Onsite,65,3,4,3,110000.0,2,6
48,Female,Asia,Marketing,Hybrid,63,3,3,1,90000.0,2,6
63,Male,Asia,Healthcare,Onsite,55,2,2,2,120000.0,2,1
53,Male,Oceania,Finance,Onsite,35,2,3,3,50000.0,2,3
61,Female,Oceania,Technology,Remote,45,1,1,3,90000.0,3,1
52,Female,South America,Education,Onsite,60,3,2,1,70000.0,2,5
61,Female,Asia,Manufacturing,Remote,46,3,1,5,90000.0,3,0
40,Male,Africa,Technology,Remote,35,3,2,3,90000.0,2,6
37,Male,Africa,Manufacturing,Remote,43,2,4,4,50000.0,1,5
55,Female,Africa,Technology,Hybrid,53,3,3,2,90000.0,3,3
32,Male,Asia,Technology,Remote,44,3,5,4,70000.0,2,2
57,Male,Oceania,Technology,Hybrid,58,1,3,1,120000.0,3,0
47,Male,North America,Professional Services,Remote,51,2,5,1,50000.0,2,6
47,Male,Oceania,Manufacturing,Remote,48,2,4,5,110000.0,3,4
62,Male,North America,Professional Services,Onsite,37,1,3,1,110000.0,0,2
35,Female,Asia,Professional Services,Hybrid,59,3,3,3,90000.0,1,0
45,Female,Europe,Professional Services,Onsite,65,1,3,2,90000.0,0,0
29,Male,Africa,Healthcare,Hybrid,58,2,3,3,90000.0,1,5
42,Female,Oceania,Professional Services,Onsite,57,2,3,4,70000.0,3,3
44,Male,Oceania,Manufacturing,Onsite,39,2,2,3,120000.0,1,2
30,Male,North America,Professional Services,Remote,58,3,3,4,90000.0,1,5
60,Male,Africa,Professional Services,Onsite,65,1,1,3,110000.0,2,5
40,Male,South America,Professional Services,Onsite,50,3,3,1,90000.0,2,1
27,Female,South America,Marketing,Onsite,50,2,4,1,70000.0,4,4
34,Male,Africa,Professional Services,Remote,63,3,5,5,110000.0,0,6
37,Female,North America,Education,Onsite,58,2,3,3,50000.0,1,2
32,Male,North America,Marketing,Onsite,39,1,5,5,70000.0,1,1
43,Male,Europe,Professional Services,Remote,36,3,4,2,70000.0,4,3
57,Female,Europe,Marketing,Hybrid,48,3,2,1,90000.0,2,0
57,Female,Africa,Manufacturing,Remote,39,3,3,5,110000.0,2,0
27,Male,Europe,Healthcare,Onsite,36,2,3,2,70000.0,0,1
49,Female,Europe,Professional Services,Onsite,51,2,3,3,110000.0,3,3
33,Male,Africa,Technology,Hybrid,59,2,3,4,120000.0,1,3
51,Male,Oceania,Manufacturing,Hybrid,43,2,4,4,70000.0,1,3
45,Male,Oceania,Professional Services,Onsite,36,1,5,5,110000.0,1,1
25,Female,Africa,Manufacturing,Onsite,49,1,4,3,70000.0,0,5
25,Male,Asia,Finance,Hybrid,40,3,2,3,70000.0,2,1
43,Male,North America,Manufacturing,Onsite,56,1,3,2,70000.0,2,0
42,Male,North America,Finance,Onsite,55,1,1,5,70000.0,1,2
43,Female,South America,Education,Onsite,63,2,3,2,90000.0,3,1
52,Male,Oceania,Education,Remote,44,2,1,3,70000.0,4,4
25,Female,Africa,Retail,Hybrid,62,3,4,5,50000.0,1,6
37,Female,North America,Finance,Onsite,60,2,3,3,90000.0,1,5
30,Male,Oceania,Finance,Onsite,48,2,1,2,50000.0,1,5
36,Male,Oceania,Customer Service,Onsite,53,3,3,1,70000.0,3,2
40,Female,Africa,Education,Remote,42,1,3,3,70000.0,4,1
63,Female,Asia,Professional Services,Hybrid,44,2,5,3,90000.0,2,5
40,Female,Oceania,Professional Services,Hybrid,45,1,5,3,110000.0,0,4
59,Male,Oceania,Professional Services,Hybrid,48,3,3,5,50000.0,2,4
56,Male,Asia,Manufacturing,Hybrid,55,2,4,3,70000.0,2,0
62,Female,South America,Finance,Hybrid,41,2,2,2,70000.0,1,2
47,Female,Africa,Professional Services,Remote,60,1,4,5,50000.0,1,5
36,Male,South America,Finance,Onsite,58,3,3,1,120000.0,1,0
50,Male,Africa,Professional Services,Onsite,43,3,2,2,110000.0,5,6
61,Male,North America,Professional Services,Onsite,50,1,3,5,50000.0,3,0
35,Female,Africa,Professional Services,Hybrid,39,2,3,5,70000.0,2,2
57,Female,South America,Customer Service,Onsite,61,1,2,2,90000.0,1,2
33,Male,Asia,Finance,Hybrid,55,3,1,4,70000.0,2,6
36,Male,North America,Education,Onsite,64,2,3,3,90000.0,1,4
44,Male,Oceania,Manufacturing,Hybrid,35,3,5,2,70000.0,0,5
44,Female,North America,Professional Services,Remote,56,3,4,3,90000.0,1,6
63,Male,North America,Education,Onsite,54,3,2,1,70000.0,4,4
62,Female,Africa,Professional Services,Hybrid,45,2,4,3,70000.0,3,6
61,Female,North America,Education,Onsite,49,1,2,2,110000.0,2,4
62,Female,Asia,Marketing,Onsite,37,1,3,2,50000.0,5,3
58,Male,Oceania,Manufacturing,Onsite,54,3,1,5,90000.0,2,6
26,Female,Oceania,Healthcare,Onsite,50,1,4,1,70000.0,2,3
32,Female,Europe,Technology,Remote,59,2,3,5,50000.0,2,6
65,Female,Asia,Technology,Hybrid,55,1,5,2,90000.0,2,2
27,Male,Asia,Professional Services,Hybrid,36,1,4,3,50000.0,2,5
56,Male,Europe,Retail,Onsite,53,3,3,3,110000.0,1,4
39,Female,North America,Professional Services,Hybrid,65,2,3,3,90000.0,3,0
44,Male,Oceania,Marketing,Onsite,64,3,3,2,90000.0,2,2
64,Male,North America,Manufacturing,Hybrid,56,3,2,1,90000.0,2,5
43,Male,Europe,Manufacturing,Hybrid,37,3,2,3,70000.0,1,0
23,Male,Oceania,Education,Remote,59,2,5,4,90000.0,3,0
61,Female,South America,Marketing,Onsite,62,3,2,1,70000.0,4,0
38,Male,Oceania,Customer Service,Onsite,40,3,3,1,90000.0,3,0
37,Male,Oceania,Professional Services,Onsite,59,3,1,2,90000.0,3,0
22,Male,Asia,Technology,Remote,39,3,3,1,70000.0,2,0
24,Male,Asia,Education,Onsite,58,2,3,1,70000.0,2,6
30,Male,Europe,Professional Services,Onsite,40,3,2,2,90000.0,3,4
32,Female,Asia,Healthcare,Hybrid,45,2,4,3,50000.0,2,4
39,Female,Asia,Professional Services,Onsite,55,3,2,3,90000.0,2,3
22,Female,Africa,Retail,Onsite,61,1,4,3,90000.0,2,0
62,Female,Europe,Customer Service,Onsite,49,1,5,4,120000.0,0,1
46,Female,North America,Finance,Onsite,50,3,3,2,50000.0,2,0
43,Male,Asia,Manufacturing,Onsite,51,2,1,2,110000.0,2,0
34,Male,Africa,Technology,Hybrid,45,3,2,2,70000.0,0,3
34,Female,North America,Finance,Onsite,36,3,3,4,110000.0,4,6
30,Female,Oceania,Finance,Onsite,42,3,5,5,70000.0,1,3
39,Female,North America,Marketing,Onsite,45,2,3,3,70000.0,2,5
61,Male,Europe,Technology,Hybrid,55,1,4,3,70000.0,4,1
53,Male,Oceania,Manufacturing,Hybrid,60,2,5,3,90000.0,2,0
59,Female,North America,Professional Services,Hybrid,58,1,5,3,90000.0,2,2
56,Female,Europe,Finance,Onsite,60,1,4,1,70000.0,2,4
48,Male,Africa,Customer Service,Onsite,38,1,3,1,90000.0,2,6
60,Male,Europe,Healthcare,Hybrid,56,3,4,2,110000.0,1,6
43,Female,Oceania,Finance,Hybrid,52,1,2,3,110000.0,3,3
65,Male,Europe,Technology,Hybrid,59,2,3,3,90000.0,3,0
48,Female,South America,Technology,Remote,53,1,1,4,110000.0,0,1
46,Female,Africa,Professional Services,Onsite,65,2,3,2,50000.0,1,2
22,Male,South America,Finance,Onsite,40,1,3,3,90000.0,2,4
58,Female,Europe,Manufacturing,Onsite,53,3,4,1,90000.0,1,0
54,Male,Africa,Manufacturing,Hybrid,49,3,5,2,90000.0,1,0
51,Male,Europe,Marketing,Hybrid,54,2,3,2,50000.0,3,0
47,Male,Oceania,Technology,Onsite,55,2,5,2,70000.0,1,0
47,Male,North America,Technology,Remote,37,2,1,5,70000.0,1,1
43,Female,Asia,Finance,Onsite,52,2,4,3,90000.0,0,2
62,Male,Europe,Finance,Onsite,44,2,4,5,70000.0,3,5
50,Female,Africa,Professional Services,Onsite,48,1,3,3,70000.0,2,5
32,Female,South America,Manufacturing,Onsite,65,2,1,2,90000.0,1,4
54,Male,South America,Marketing,Hybrid,43,1,3,3,90000.0,3,4
54,Male,Europe,Professional Services,Onsite,62,1,5,2,50000.0,0,0
56,Male,South America,Professional Services,Onsite,41,1,1,5,70000.0,1,2
39,Male,North America,Manufacturing,Hybrid,42,3,3,1,70000.0,2,6
43,Male,Africa,Manufacturing,Remote,44,1,2,3,70000.0,3,1
55,Female,Oceania,Healthcare,Onsite,36,3,3,3,70000.0,2,3
33,Male,Oceania,Healthcare,Onsite,64,1,3,5,90000.0,3,4
61,Female,South America,Professional Services,Hybrid,50,2,1,3,70000.0,3,5
63,Female,North America,Customer Service,Onsite,40,2,5,1,90000.0,1,0
28,Male,North America,Professional Services,Onsite,58,1,4,2,110000.0,2,5
41,Male,South America,Technology,Remote,49,2,3,2,50000.0,4,2
62,Male,North America,Healthcare,Onsite,55,2,1,3,110000.0,2,5
31,Female,Oceania,Technology,Hybrid,49,1,1,4,70000.0,2,5
63,Male,Africa,Finance,Onsite,45,1,5,3,70000.0,2,1
61,Male,South America,Professional Services,Onsite,52,2,4,5,90000.0,1,4
31,Male,Africa,Customer Service,Onsite,42,2,2,4,70000.0,0,3
22,Male,North America,Manufacturing,Hybrid,41,2,1,3,70000.0,1,2
63,Male,Africa,Customer Service,Remote,64,2,4,4,90000.0,0,0
44,Male,Europe,Professional Services,Onsite,53,2,4,3,90000.0,1,0
60,Female,North America,Healthcare,Onsite,42,3,1,2,90000.0,3,1
55,Male,Africa,Healthcare,Remote,54,2,3,5,120000.0,2,5
24,Male,South America,Technology,Hybrid,56,1,3,2,120000.0,3,1
23,Female,Asia,Professional Services,Onsite,60,2,4,1,70000.0,2,5
49,Male,North America,Finance,Hybrid,64,2,4,4,90000.0,3,0
61,Female,South America,Finance,Onsite,62,2,3,1,90000.0,1,5
22,Female,Europe,Retail,Onsite,36,2,5,4,110000.0,3,3
26,Female,Asia,Finance,Onsite,47,2,3,4,70000.0,3,3
40,Female,Asia,Manufacturing,Hybrid,42,3,3,3,90000.0,0,1
25,Male,Asia,Manufacturing,Hybrid,47,2,2,3,120000.0,1,2
23,Male,Asia,Professional Services,Onsite,64,1,4,2,110000.0,2,6
32,Male,Africa,Customer Service,Hybrid,49,2,4,3,90000.0,2,0
24,Female,Oceania,Technology,Remote,65,3,3,4,50000.0,1,6
43,Male,South America,Education,Onsite,48,3,4,2,70000.0,3,0
46,Female,Africa,Manufacturing,Onsite,60,2,3,3,120000.0,2,0
47,Female,North America,Professional Services,Onsite,42,3,4,4,90000.0,2,1
22,Female,Africa,Technology,Hybrid,52,2,4,2,70000.0,2,3
64,Female,North America,Technology,Remote,45,3,2,1,70000.0,1,4
36,Female,Africa,Customer Service,Hybrid,61,2,1,2,90000.0,3,2
36,Female,Oceania,Marketing,Onsite,39,3,3,3,110000.0,3,4
50,Male,Europe,Manufacturing,Remote,56,2,4,4,110000.0,2,2
59,Male,Europe,Professional Services,Onsite,42,2,4,2,70000.0,2,0
45,Female,North America,Marketing,Onsite,64,2,4,1,50000.0,2,1
22,Female,Europe,Technology,Onsite,49,1,3,2,70000.0,1,2
56,Female,South America,Professional Services,Onsite,50,1,2,2,70000.0,2,1
58,Female,North America,Manufacturing,Remote,50,3,2,3,90000.0,2,1
50,Male,Africa,Finance,Hybrid,38,2,4,2,50000.0,2,3
28,Female,Oceania,Technology,Onsite,55,3,2,2,70000.0,1,1
45,Male,South America,Healthcare,Onsite,64,2,3,3,70000.0,3,2
25,Female,Europe,Customer Service,Onsite,48,2,4,2,90000.0,3,3
52,Male,North America,Education,Onsite,38,2,4,1,110000.0,0,0
62,Female,Oceania,Education,Hybrid,36,2,1,4,110000.0,2,2
37,Female,South America,Professional Services,Onsite,37,3,3,2,70000.0,1,5
64,Female,Europe,Marketing,Hybrid,42,2,3,4,70000.0,1,3
23,Female,Asia,Technology,Hybrid,40,3,4,4,70000.0,4,0
62,Female,Europe,Healthcare,Hybrid,43,1,4,3,50000.0,2,0
36,Female,North America,Retail,Onsite,56,1,5,3,90000.0,0,4
35,Female,South America,Manufacturing,Remote,64,3,1,3,120000.0,2,6
58,Male,Europe,Healthcare,Onsite,56,2,1,1,120000.0,2,5
62,Female,South America,Manufacturing,Hybrid,46,2,1,4,110000.0,1,6
61,Female,South America,Manufacturing,Onsite,41,2,3,3,70000.0,0,6
40,Female,Europe,Technology,Hybrid,44,2,3,1,90000.0,2,4
25,Female,North America,Finance,Remote,48,2,3,5,110000.0,1,5
44,Female,South America,Professional Services,Onsite,55,2,4,3,70000.0,2,4
49,Female,Africa,Manufacturing,Onsite,49,3,3,5,50000.0,3,6
22,Female,North America,Education,Onsite,40,2,3,2,90000.0,2,3
26,Male,Europe,Finance,Hybrid,38,1,1,4,90000.0,1,0
36,Female,South America,Finance,Hybrid,49,3,1,3,90000.0,4,3
50,Female,South America,Finance,Onsite,63,2,2,2,90000.0,1,6
51,Female,Asia,Technology,Hybrid,41,3,2,3,90000.0,1,4
26,Male,Europe,Healthcare,Hybrid,48,3,2,2,120000.0,2,0
64,Female,South America,Healthcare,Onsite,43,3,3,3,110000.0,1,1
56,Male,Oceania,Manufacturing,Onsite,56,2,2,2,90000.0,2,0
57,Male,North America,Education,Hybrid,58,2,2,3,110000.0,1,0
63,Male,Africa,Manufacturing,Hybrid,55,2,4,3,70000.0,3,0
26,Female,North America,Manufacturing,Hybrid,64,3,4,3,50000.0,4,0
33,Male,South America,Retail,Onsite,43,2,3,1,70000.0,3,3
45,Male,Oceania,Education,Hybrid,61,3,3,3,70000.0,3,0
30,Male,Asia,Healthcare,Hybrid,57,1,4,4,110000.0,3,4
65,Female,Asia,Professional Services,Onsite,65,1,1,3,110000.0,2,2
33,Female,Asia,Retail,Onsite,40,2,1,1,70000.0,1,1
46,Male,Africa,Marketing,Hybrid,54,1,2,1,90000.0,2,4
26,Female,Africa,Finance,Onsite,53,2,3,3,50000.0,1,0
50,Female,North America,Manufacturing,Onsite,64,2,3,3,90000.0,2,0
64,Male,Asia,Professional Services,Onsite,42,3,3,1,90000.0,2,6
45,Male,North America,Retail,Remote,35,3,2,2,70000.0,0,5
35,Female,Asia,Technology,Onsite,56,1,4,3,90000.0,2,6
43,Female,North America,Education,Onsite,51,2,5,1,90000.0,2,4
65,Male,South America,Finance,Hybrid,64,2,3,2,90000.0,2,5
25,Female,Asia,Marketing,Hybrid,47,3,4,2,70000.0,2,4
55,Male,Oceania,Manufacturing,Remote,41,3,3,4,90000.0,3,0
51,Male,Oceania,Manufacturing,Hybrid,49,1,3,2,70000.0,2,2
52,Male,Asia,Healthcare,Hybrid,54,3,3,1,110000.0,1,2
32,Male,South America,Customer Service,Onsite,35,3,3,3,70000.0,2,0
64,Female,Africa,Marketing,Remote,60,3,3,3,90000.0,2,6
56,Female,North America,Professional Services,Onsite,39,2,1,3,90000.0,1,0
31,Male,Europe,Professional Services,Onsite,60,1,3,5,70000.0,3,0
29,Female,Africa,Healthcare,Onsite,65,2,4,5,90000.0,2,0
23,Male,Europe,Education,Onsite,55,1,3,3,110000.0,2,0
35,Male,Africa,Professional Services,Onsite,55,1,2,4,110000.0,3,6
33,Female,South America,Education,Remote,42,2,3,3,120000.0,2,0
35,Female,North America,Professional Services,Onsite,57,2,2,1,50000.0,2,4
58,Female,South America,Manufacturing,Hybrid,44,2,3,3,70000.0,3,0
39,Female,Europe,Manufacturing,Hybrid,50,3,2,3,50000.0,2,1
28,Female,Asia,Finance,Hybrid,39,3,4,3,50000.0,3,6
31,Male,Oceania,Customer Service,Onsite,46,3,3,2,50000.0,2,3
47,Male,Africa,Finance,Onsite,45,3,1,5,70000.0,2,2
56,Male,Africa,Technology,Hybrid,59,2,4,4,50000.0,4,0
33,Female,North America,Professional Services,Hybrid,59,2,3,2,50000.0,1,1
65,Female,North America,Manufacturing,Hybrid,51,1,3,5,70000.0,2,0
48,Female,South America,Manufacturing,Hybrid,45,2,2,3,110000.0,3,0
43,Male,Oceania,Finance,Hybrid,42,2,4,2,70000.0,2,5
50,Male,Oceania,Finance,Remote,57,3,4,3,70000.0,4,0
54,Female,North America,Manufacturing,Hybrid,63,2,2,2,90000.0,2,2
46,Male,Asia,Professional Services,Hybrid,55,1,2,4,90000.0,1,1
30,Female,North America,Professional Services,Onsite,43,2,3,5,90000.0,2,0
49,Female,Asia,Technology,Hybrid,59,3,3,2,50000.0,1,1
36,Female,Asia,Marketing,Remote,56,2,3,5,110000.0,3,0
62,Female,Africa,Technology,Hybrid,52,2,3,5,110000.0,4,0
51,Female,North America,Retail,Onsite,39,2,5,2,110000.0,1,5
51,Female,Europe,Healthcare,Onsite,53,3,1,4,70000.0,0,0
37,Male,Africa,Customer Service,Hybrid,55,1,2,4,90000.0,1,6
